,text,hex,h,l
307,DMC 608,#f14e27,0.032178217821782186,0.5490196078431373
308,DMC 610,#7c654b,0.08843537414965985,0.39019607843137255
309,DMC 611,#8c715b,0.07482993197278907,0.4529411764705883
310,DMC 612,#b29b7d,0.09433962264150943,0.5941176470588235
311,DMC 613,#d4c6ba,0.07692307692307696,0.7803921568627451
312,DMC 632,#87524d,0.014367816091954054,0.4156862745098039
313,DMC 640,#8c836e,0.11666666666666656,0.4901960784313726
314,DMC 642,#a59b89,0.10714285714285704,0.592156862745098
315,DMC 644,#cbc3b5,0.106060606060606,0.7529411764705882
316,DMC 645,#71706e,0.11111111111111112,0.4372549019607843
317,DMC 646,#8c8881,0.10606060606060597,0.5274509803921569
318,DMC 647,#adada0,0.16666666666666669,0.6529411764705882
319,DMC 648,#b7b2af,0.062499999999999785,0.7019607843137254
320,DMC 666,#c71e2b,0.9871794871794873,0.44901960784313727
321,DMC 676,#eabb82,0.09134615384615384,0.7137254901960783
322,DMC 677,#eacda7,0.09452736318407964,0.7862745098039216
323,DMC 680,#b9834e,0.08255451713395637,0.5156862745098039
324,DMC 699,#077340,0.4212962962962963,0.23921568627450981
325,DMC 700,#378647,0.3670886075949367,0.37058823529411766
326,DMC 701,#4c8f4c,0.33333333333333337,0.4294117647058824
327,DMC 702,#679c53,0.2876712328767123,0.46862745098039216
328,DMC 703,#8eb164,0.24242424242424246,0.5431372549019607
329,DMC 704,#9db558,0.20967741935483872,0.5274509803921569
330,DMC 712,#e9d8cc,0.06896551724137927,0.8568627450980393
331,DMC 718,#a73880,0.891891891891892,0.4372549019607843
332,DMC 720,#c75126,0.044513457556935816,0.4647058823529412
333,DMC 721,#e27c41,0.061076604554865424,0.5705882352941176
334,DMC 722,#f29667,0.0563549160671463,0.6764705882352942
335,DMC 725,#f2b558,0.10064935064935067,0.6470588235294117
336,DMC 726,#f7c65f,0.11293859649122809,0.6705882352941177
337,DMC 727,#fad98d,0.1162079510703364,0.7666666666666666
338,DMC 728,#ecad47,0.10303030303030304,0.6019607843137256
339,DMC 729,#d1ab62,0.1096096096096096,0.6019607843137255
340,DMC 730,#7a6938,0.12373737373737373,0.34901960784313724
341,DMC 732 (731),#856f37,0.11965811965811965,0.3686274509803922
342,DMC 733,#ae974c,0.12755102040816327,0.4901960784313726
343,DMC 734,#c4a864,0.11805555555555554,0.5803921568627451
344,DMC 738,#d9b99a,0.08201058201058202,0.7274509803921568
345,DMC 739,#e9cdb6,0.0751633986928105,0.8137254901960784
346,DMC 740 (971),#ec7025,0.06281407035175879,0.5352941176470588
347,DMC 741,#f68e21,0.08528951486697967,0.5470588235294118
348,DMC 742,#f7a13b,0.09042553191489362,0.6
349,DMC 743,#fbbf60,0.10215053763440861,0.6803921568627451
350,DMC 744,#facc8b,0.09759759759759765,0.7627450980392156
351,DMC 745,#f9d5a8,0.09259259259259263,0.8176470588235294
352,DMC 746,#eae1ca,0.11979166666666669,0.8549019607843137
353,DMC 747,#bfe0e9,0.5357142857142857,0.8313725490196078
354,DMC 754,#e8b7a6,0.04292929292929293,0.7803921568627451
355,DMC 758,#dda798,0.036231884057971016,0.7313725490196079
356,DMC 760,#d98990,0.9854166666666667,0.6941176470588235
357,DMC 761,#eab4bd,0.9722222222222222,0.8117647058823529
358,DMC 762,#d6d7df,0.6481481481481483,0.8568627450980393
359,DMC 772,#cfd5bc,0.2066666666666667,0.7862745098039217
360,DMC 775,#c2d8e4,0.5588235294117647,0.8274509803921568
361,DMC 777,#8b2646,0.9471947194719472,0.34705882352941175
362,DMC 778,#d2acb3,0.9692982456140352,0.7490196078431373
363,DMC 779,#725a5d,0.9791666666666667,0.4
364,DMC 780,#9f5b35,0.05974842767295599,0.41568627450980394
365,DMC 782 (781),#af7132,0.08399999999999999,0.4411764705882353
366,DMC 783,#cf863e,0.08275862068965517,0.5274509803921569
367,DMC 791,#314a80,0.6139240506329114,0.34705882352941175
368,DMC 792,#3b68a4,0.5952380952380953,0.4372549019607843
369,DMC 793,#6d8cb5,0.5949074074074074,0.5686274509803921
370,DMC 794,#85a7c7,0.5808080808080809,0.6509803921568628
371,DMC 796,#194183,0.6037735849056605,0.30588235294117644
372,DMC 797,#365696,0.6111111111111112,0.4
373,DMC 798,#3470b0,0.5860215053763441,0.44705882352941173
374,DMC 799,#6295c1,0.5771929824561404,0.5705882352941176
375,DMC 800,#9cbdd9,0.5765027322404371,0.7313725490196079
376,DMC 801,#764c40,0.03703703703703703,0.3568627450980392
377,DMC 803,#1e5581,0.5740740740740742,0.31176470588235294
378,DMC 807,#54a1b7,0.5370370370370371,0.5235294117647059
379,DMC 809,#7ba6d1,0.5833333333333334,0.6509803921568628
380,DMC 813,#72a8c8,0.562015503875969,0.615686274509804
381,DMC 814,#722842,0.9414414414414415,0.3019607843137255
382,DMC 815,#7f2c45,0.9497991967871485,0.33529411764705885
383,DMC 816,#962641,0.9598214285714286,0.3686274509803922
384,DMC 817,#b52232,0.981859410430839,0.4215686274509804
385,DMC 818,#f4d2d6,0.9803921568627452,0.8901960784313725
386,DMC 819,#f8e1df,0.013333333333333289,0.9235294117647059
387,DMC 820,#133a7a,0.6035598705501619,0.27647058823529413
388,DMC 822,#dbd4c4,0.11594202898550737,0.8137254901960784
389,DMC 823,#24354f,0.6007751937984497,0.22549019607843138
390,DMC 824,#1e5487,0.580952380952381,0.3235294117647059
391,DMC 825,#29689b,0.5745614035087719,0.38431372549019605
392,DMC 826,#4382b2,0.5720720720720721,0.48039215686274506
393,DMC 827,#9bc0d9,0.5672043010752689,0.7294117647058823
394,DMC 828,#bdd8df,0.5343137254901962,0.807843137254902
395,DMC 829,#825c3a,0.0787037037037037,0.3686274509803921
396,DMC 830,#82623d,0.08937198067632854,0.37450980392156863
397,DMC 831,#9a743f,0.09706959706959709,0.42549019607843136
398,DMC 832,#b28848,0.10062893081761008,0.49019607843137253
399,DMC 833,#bf9f59,0.11437908496732027,0.5490196078431373
400,DMC 834,#cda86a,0.10437710437710437,0.6098039215686275
401,DMC 838,#574540,0.03623188405797098,0.296078431372549
402,DMC 839,#6c574f,0.04597701149425289,0.3666666666666667
403,DMC 840,#95796a,0.05813953488372089,0.5
404,DMC 841,#ae9286,0.04999999999999994,0.603921568627451
405,DMC 842,#d0b5a7,0.05691056910569109,0.7352941176470589
406,DMC 844,#5c595b,0.8888888888888887,0.3549019607843137
407,DMC 869,#8a5f42,0.06712962962962964,0.4
408,DMC 890,#334c34,0.34,0.24901960784313726
409,DMC 891,#e64f72,0.9613686534216336,0.6058823529411765
410,DMC 892,#e75b70,0.9750000000000001,0.6313725490196078
411,DMC 893,#e8748c,0.9655172413793104,0.6823529411764706
412,DMC 894,#f198b2,0.951310861423221,0.7705882352941176
413,DMC 895,#455f40,0.3064516129032258,0.31176470588235294
414,DMC 898,#614137,0.03968253968253966,0.2980392156862745
415,DMC 899,#dc7898,0.9466666666666665,0.6666666666666667
416,DMC 900,#c8473c,0.013095238095238099,0.5098039215686274
417,DMC 902,#7e3a50,0.9460784313725491,0.3607843137254902
418,DMC 904,#5a6d38,0.2264150943396226,0.32352941176470584
419,DMC 905,#677d35,0.2175925925925926,0.34901960784313724
420,DMC 906,#779035,0.21245421245421245,0.3862745098039216
421,DMC 907,#b0bb4d,0.1833333333333333,0.5176470588235293
422,DMC 909,#007b43,0.42411924119241196,0.2411764705882353
423,DMC 910,#138b51,0.41944444444444445,0.3098039215686274
424,DMC 911,#2c9f68,0.4202898550724638,0.39803921568627454
425,DMC 912,#63ae80,0.3977777777777778,0.5352941176470588
426,DMC 913,#77bf90,0.3912037037037037,0.607843137254902
427,DMC 915,#8b2655,0.9224422442244223,0.34705882352941175
428,DMC 917,#a33e7e,0.8943894389438943,0.4411764705882353
429,DMC 918,#8d3e39,0.009920634920634913,0.38823529411764707
430,DMC 919,#943a2f,0.018151815181518146,0.3823529411764706
